season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,1,13,Semifinals,2,May 13 @5:30 PM,97572,O'Hara,537,1,10,True,St. Mary's (Independence),548,4,0,False,10,O'Hara,537,False
2012-2013,2012,1,13,Semifinals,3,May 13 @7:00 PM,97572,Summit Christian Academy,783,2,8,True,Oak Grove,146,3,2,False,6,O'Hara,537,False
2012-2013,2012,1,14,Final,1,May 16 @5:30 PM,97618,Lutheran (Kansas City),527,,1,False,Barstow,508,,2,True,1,Barstow,508,False
2012-2013,2012,1,14,Semifinals,2,May 14 @4:00 PM,97618,Lutheran (Kansas City),527,1,7,True,Center,43,,0,False,7,Barstow,508,False
2012-2013,2012,1,14,Semifinals,3,May 14 @5:45 PM,97618,Barstow,508,2,15,True,Southeast,806,3,0,False,15,Barstow,508,False
2012-2013,2012,1,14,Quarterfinals,5,May 2,97618,Center,43,4,1,False,Southwest Early College,905,5,0,False,1,Barstow,508,False
2012-2013,2012,1,15,Final,1,May 14 @4:30 PM,97799,Pembroke Hill,570,,2,True,Lincoln College Prep,123,,1,False,1,Pembroke Hill,570,False
2012-2013,2012,1,15,Semifinals,2,May 13 @4:00 PM,97799,Pembroke Hill,570,1,10,True,Guadalupe Centers Charter,785,4,0,False,10,Pembroke Hill,570,False
2012-2013,2012,1,15,Semifinals,3,May 13 @6:00 PM,97799,Lincoln College Prep,123,2,5,True,Cristo Rey,915,3,1,False,4,Pembroke Hill,570,False
2012-2013,2012,1,16,Final,1,May 15 @5:00 PM,97101,Maryville,111,,3,True,St. Pius X (Kansas City),551,,1,False,2,Maryville,111,False
2012-2013,2012,1,16,Semifinals,2,May 13 @4:30 PM,97101,Maryville,111,1,10,True,Chillicothe,55,,0,False,10,Maryville,111,False
2012-2013,2012,1,16,Semifinals,3,May 13 @6:30 PM,97101,St. Pius X (Kansas City),551,2,5,True,Bishop LeBlond,510,3,2,False,3,Maryville,111,False
2012-2013,2012,1,16,Quarterfinals,5,May 11 @11:00 AM,97101,Chillicothe,55,4,3,True,Cameron,252,5,2,False,1,Maryville,111,False
2012-2013,2012,2,1,Final,1,May 16 @6:00 PM,97191,Farmington,59,,0,False,Notre Dame (Cape Girardeau),534,,3,True,3,Notre Dame (Cape Girardeau),534,False
2012-2013,2012,2,1,Semifinals,2,May 14 @5:00 PM,97191,Farmington,59,1,7,True,Central (Cape Girardeau),225,,1,False,6,Notre Dame (Cape Girardeau),534,False
2012-2013,2012,2,1,Semifinals,3,May 14 @7:00 PM,97191,Notre Dame (Cape Girardeau),534,2,4,True,Perryville,411,3,1,False,3,Notre Dame (Cape Girardeau),534,False
2012-2013,2012,2,1,Quarterfinals,5,May 13 @6:00 PM,97191,Sikeston,191,4,2,False,Central (Cape Girardeau),225,5,3,True,1,Notre Dame (Cape Girardeau),534,False
2012-2013,2012,2,2,Final,1,May 15 @6:00 PM,97400,Windsor (Imperial),499,,0,False,Hillsboro,93,,1,True,1,Hillsboro,93,False
2012-2013,2012,2,2,Semifinals,2,May 13 @5:00 PM,97400,Windsor (Imperial),499,1,3,True,Festus,60,,0,False,3,Hillsboro,93,False
2012-2013,2012,2,2,Semifinals,3,May 13 @7:00 PM,97400,Hillsboro,93,2,3,True,North County,140,3,0,False,3,Hillsboro,93,False
2012-2013,2012,2,2,Quarterfinals,5,May 11 @1:00 PM,97400,Festus,60,4,8,True,DeSoto,35,5,0,False,8,Hillsboro,93,False
2012-2013,2012,2,3,Final,1,May 15 @4:30 PM,97362,Bishop DuBourg,509,,2,True,Lutheran South,530,,1,False,1,Bishop DuBourg,509,False
2012-2013,2012,2,3,Semifinals,2,May 13 @4:00 PM,97362,Bishop DuBourg,509,1,10,True,Gateway,25,,0,False,10,Bishop DuBourg,509,False
2012-2013,2012,2,3,Semifinals,3,May 13 @6:00 PM,97362,Affton,4,2,2,False,Lutheran South,530,3,3,True,1,Bishop DuBourg,509,False
2012-2013,2012,2,3,Quarterfinals,5,May 11 @1:00 PM,97362,Gateway,25,4,2,True,Roosevelt,189,5,0,False,2,Bishop DuBourg,509,False
2012-2013,2012,2,4,Final,1,May 17 @4:00 PM,97360,Rosati-Kain,541,,10,True,Jennings,86,,0,False,10,Rosati-Kain,541,False
2012-2013,2012,2,4,Semifinals,2,May 16 @4:00 PM,97360,Rosati-Kain,541,1,10,True,Vashon,206,,0,False,10,Rosati-Kain,541,False
