filename,status,output,bg_fraction,slug
Eminence Logo.jpg,processed,matched/eminence.png,0.404,eminence
Eugene.jpg,processed,matched/eugene.png,0.566,eugene
Eureka Logo.jpg,processed,matched/eureka.png,0.564,eureka
Everton Logo.jpg,processed,matched/everton.png,0.427,everton
Ewing Marion Kauffman Logo.jpg,processed,matched/ewing-marion-kauffman.png,0.63,ewing-marion-kauffman
Excelsior Springs Logo.jpg,processed,matched/excelsior-springs.png,0.318,excelsior-springs
Exeter Logo.jpg,processed,matched/exeter.png,0.532,exeter
Fair Grove Logo.jpg,bg_removal_uncertain,,0.0,fair-grove
Fair Play Logo.jpg,processed,matched/fair-play.png,0.587,fair-play
Faith Christian Academy Logo.jpg,processed,matched/faith-christian-academy.png,0.679,faith-christian-academy
Farmington Logo.jpg,processed,matched/farmington.png,0.692,farmington
Father Tolton Logo.jpg,processed,matched/father-tolton.png,0.316,father-tolton
Fatima Logo.jpg,processed,matched/fatima.png,0.742,fatima
Fayette Logo.jpg,processed,matched/fayette.png,0.614,fayette
Festus Logo.jpg,processed,matched/festus.png,0.409,festus
Fordland Logo.jpg,processed,matched/fordland.png,0.436,fordland
Forsyth Logo.jpg,processed,matched/forsyth.png,0.454,forsyth
Fort Osage Logo.jpg,processed,matched/fort-osage.png,0.518,fort-osage
Fox Logo.jpg,processed,matched/fox.png,0.565,fox
Francis Howell Central.jpg,processed,matched/francis-howell-central.png,0.801,francis-howell-central
Francis Howell Logo.jpg,processed,matched/francis-howell.png,0.635,francis-howell
Francis Howell Noth Logo.jpg,processed,matched/francis-howell-north.png,0.26,francis-howell-north
Fredericktown Logo.jpg,processed,matched/fredericktown.png,0.492,fredericktown
Frontier School of Excellence Charter Logo.jpg,processed,matched/frontier-school-of-excellence-charter.png,0.622,frontier-school-of-excellence-charter
Ft Zumwalt East Logo.jpg,processed,matched/ft-zumwalt-east.png,0.329,ft-zumwalt-east
Ft Zumwalt North Logo.jpg,processed,matched/ft-zumwalt-north.png,0.469,ft-zumwalt-north
Ft Zumwalt South Logo.jpg,processed,matched/ft-zumwalt-south.png,0.161,ft-zumwalt-south
Ft Zumwalt West Logo.jpg,processed,matched/ft-zumwalt-west.png,0.475,ft-zumwalt-west
Fulton Logo.jpg,processed,matched/fulton.png,0.452,fulton
Gainesville Lgo.jpg,processed,matched/gainesville.png,0.321,gainesville
Galena Logo.jpg,processed,matched/galena.png,0.505,galena
Gallatin Logo.jpg,processed,matched/gallatin.png,0.607,gallatin
Gateway Logo.jpg,processed,matched/gateway.png,0.451,gateway
Gateway Science Academy Charter Logo.jpg,processed,matched/gateway.png,0.674,gateway
Gideon Logo.jpg,processed,matched/gideon.png,0.623,gideon
Gilman City Logo.jpg,processed,matched/gilman-city.png,0.854,gilman-city
Glasgow Logo.jpg,processed,matched/glasgow.png,0.559,glasgow
Glendale Logo.jpg,processed,matched/glendale.png,0.274,glendale
Gloria Deo Academy Logo.jpg,processed,matched/gloria-deo-academy.png,0.369,gloria-deo-academy
Golden City Logo.jpg,processed,matched/golden-city.png,0.642,golden-city
Grain Valley Logo.jpg,processed,matched/grain-valley.png,0.427,grain-valley
Grandview Hillsboro Logo.jpg,processed,matched/grandview-hillsboro.png,0.284,grandview-hillsboro
Grandview Logo.jpg,processed,matched/grandview.png,0.83,grandview
Green City Logo.jpg,processed,matched/green-city.png,0.804,green-city
Green Ridge Logo.jpg,processed,matched/green-ridge.png,0.416,green-ridge
Greenfield Logo.jpg,processed,matched/greenfield.png,0.482,greenfield
Greenville Logo.jpg,processed,matched/greenville.png,0.432,greenville
Greenwood Logo.jpg,processed,matched/greenwood.png,0.214,greenwood
Grundy County Logo.jpg,processed,matched/grundy-county.png,0.515,grundy-county
Guadalupe Centers Logo.jpg,processed,matched/center.png,0.391,center
Hale Logo.jpg,processed,matched/hale.png,0.75,hale
Halfway Logo.jpg,processed,matched/halfway.png,0.32,halfway
Hallsville Logo.jpg,processed,matched/hallsville.png,0.368,hallsville
Hancock Logo.jpg,processed,matched/hancock.png,0.535,hancock
